name,host,survey,m_g,g_r,converted_from_gi,dist_mpc,dist_sbf_mpc
dw1046p1259,NGC3379,ELVES (Carlsten+22),17.09,0.6099999999999994,False,10.7,8.48
dw1047p1257,NGC3379,ELVES (Carlsten+22),18.78,0.6500000000000021,False,10.7,11.56
dw1047p1153,NGC3379,ELVES (Carlsten+22),20.98,0.5500000000000007,False,10.7,9.35
dw1047p1248,NGC3379,ELVES (Carlsten+22),18.67,0.40000000000000213,False,10.7,10.72
dw1047p1202,NGC3379,ELVES (Carlsten+22),19.57,0.5599999999999987,False,10.7,11.24
dw1047p1258,NGC3379,ELVES (Carlsten+22),19.59,0.6600000000000001,False,10.7,11.0
NGC3377,NGC3379,ELVES (Carlsten+22),,,False,10.7,
dw1048p1158,NGC3379,ELVES (Carlsten+22),19.35,0.5899999999999999,False,10.7,11.03
NGC3384,NGC3379,ELVES (Carlsten+22),,,False,10.7,
dw1048p1154,NGC3379,ELVES (Carlsten+22),19.34,0.5,False,10.7,10.75
dw1048p1303,NGC3379,ELVES (Carlsten+22),19.43,0.379999999999999,False,10.7,10.9
dw1048p1259,NGC3379,ELVES (Carlsten+22),19.86,0.5999999999999979,False,10.7,11.81
dw1048p1407,NGC3379,ELVES (Carlsten+22),15.29,0.629999999999999,False,10.7,12.67
dw1049p1247,NGC3379,ELVES (Carlsten+22),19.5,0.39000000000000057,False,10.7,11.91
dw1049p1233,NGC3379,ELVES (Carlsten+22),19.09,0.620000000000001,False,10.7,11.48
UGC5944,NGC3379,ELVES (Carlsten+22),14.94,0.6099999999999994,False,10.7,11.3
dw1050p1213,NGC3379,ELVES (Carlsten+22),20.89,0.4800000000000004,False,10.7,11.19
dw1050p1221,NGC3379,ELVES (Carlsten+22),16.87,0.6099999999999994,False,10.7,10.32
dw1050p1236,NGC3379,ELVES (Carlsten+22),20.2,0.4499999999999993,False,10.7,11.25
NGC3412,NGC3379,ELVES (Carlsten+22),,,False,10.7,
dw1051p1320,NGC3379,ELVES (Carlsten+22),16.27,0.6099999999999994,False,10.7,10.89
dw1051p1250,NGC3379,ELVES (Carlsten+22),16.18,0.5899999999999999,False,10.7,10.34
dw1051p1406,NGC3379,ELVES (Carlsten+22),17.73,0.6000000000000014,False,10.7,
dw1052p1102,NGC3379,ELVES (Carlsten+22),15.85,0.6199999999999992,False,10.7,
dw1104p0004,NGC3521,ELVES (Carlsten+22),20.25,0.5799999999999983,False,11.2,11.68
dw1104p0003,NGC3521,ELVES (Carlsten+22),16.57,0.5399999999999991,False,11.2,10.18
dw1104p0005,NGC3521,ELVES (Carlsten+22),20.67,0.46000000000000085,False,11.2,12.75
dw1105p0006,NGC3521,ELVES (Carlsten+22),16.0,0.5399999999999991,False,11.2,
dw1106m0126,NGC3521,ELVES (Carlsten+22),17.45,0.5500000000000007,False,11.2,11.57
dw1106m0052,NGC3521,ELVES (Carlsten+22),19.03,0.4800000000000004,False,11.2,12.15
dw1107m0038,NGC3521,ELVES (Carlsten+22),21.14,0.5700000000000003,False,11.2,11.49
dw110m0011,NGC3521,ELVES (Carlsten+22),17.62,0.5100000000000016,False,11.2,12.29
dw1109m0016,NGC3521,ELVES (Carlsten+22),18.84,0.6099999999999994,False,11.2,9.91
dw1110p0037,NGC3521,ELVES (Carlsten+22),16.89,0.6099999999999994,False,11.2,11.43
dw1111p0049,NGC3521,ELVES (Carlsten+22),18.83,0.5,False,11.2,10.06
dw1119p5543,NGC3556,ELVES (Carlsten+22),16.18,0.3699999999999992,False,9.55,
NGC3593,NGC3627,ELVES (Carlsten+22),11.17,0.9100000000000001,False,10.5,
dw1114p1238,NGC3627,ELVES (Carlsten+22),17.18,0.3500000000000014,False,10.5,
dw1117p1305,NGC3627,ELVES (Carlsten+22),15.55,0.4800000000000004,False,10.5,
dw1118p1233,NGC3627,ELVES (Carlsten+22),17.07,0.5899999999999999,False,10.5,9.67
dw1118p1348,NGC3627,ELVES (Carlsten+22),18.86,0.46999999999999886,False,10.5,9.86
NGC3623,NGC3627,ELVES (Carlsten+22),,,False,10.5,
dw1119p1419,NGC3627,ELVES (Carlsten+22),16.39,0.4900000000000002,False,10.5,
dw1119p1157,NGC3627,ELVES (Carlsten+22),16.22,0.2699999999999996,False,10.5,
dw1119p1417,NGC3627,ELVES (Carlsten+22),17.12,0.46000000000000085,False,10.5,
dw1119p1404,NGC3627,ELVES (Carlsten+22),16.5,0.5899999999999999,False,10.5,9.48
dw1120p1332,NGC3627,ELVES (Carlsten+22),17.91,0.5100000000000016,False,10.5,11.43
NGC3628,NGC3627,ELVES (Carlsten+22),,,False,10.5,
dw1120p1337,NGC3627,ELVES (Carlsten+22),14.46,0.7200000000000006,False,10.5,
dw1121p1326,NGC3627,ELVES (Carlsten+22),19.43,0.629999999999999,False,10.5,8.69
dw1122p1258,NGC3627,ELVES (Carlsten+22),16.53,0.5,False,10.5,11.66
IC2782,NGC3627,ELVES (Carlsten+22),14.63,0.5900000000000016,False,10.5,10.46
dw1123p1342,NGC3627,ELVES (Carlsten+22),17.55,0.060000000000002274,False,10.5,
IC2787,NGC3627,ELVES (Carlsten+22),14.95,0.5,False,10.5,11.06
IC2791,NGC3627,ELVES (Carlsten+22),16.72,0.379999999999999,False,10.5,9.95
dw1124p1240,NGC3627,ELVES (Carlsten+22),18.23,0.46000000000000085,False,10.5,
NGC4248,NGC4258,ELVES (Carlsten+22),12.68,0.4800000000000004,False,7.2,7.61
LVJ1218+4655,NGC4258,ELVES (Carlsten+22),16.49,0.1999999999999993,False,7.2,7.43
dw1219p4743,NGC4258,ELVES (Carlsten+22),18.16,0.379999999999999,False,7.2,7.55
UGC7356,NGC4258,ELVES (Carlsten+22),15.28,0.5099999999999998,False,7.2,6.29
