M33            M31      23.4583  30.6603 205.8                              -18.84 0.10  9.51 0.22 25.46 0.60               False True  1.00      MCCONN
dw0317m4058    NGC1291  49.3725 -40.9728  22.2 17.05 0.09 16.40 0.09 -12.74 -13.12 0.09  7.48 0.13 23.87 0.12   970.1  56.3 True  True  1.00 gr   DECALS
dw0317m4141    NGC1291  49.4083 -41.6962  93.7 17.15 0.09 16.68 0.09 -12.64 -12.92 0.10  7.13 0.13 24.61 0.12  1099.0  67.6 True  True  1.00 gr   DECALS
dw0318m4101    NGC1291  49.6796 -41.0240  44.1 18.63 0.11 18.05 0.10 -11.16 -11.50 0.11  6.73 0.13 23.54 0.14   346.6  28.0 True  True  1.00 gr   DECALS
dw0318m4211    NGC1291  49.6961 -42.1993 178.4 20.35 0.15 19.82 0.15  -9.44  -9.75 0.16  5.94 0.17 25.52 0.22   334.5  45.8 True  True  1.00 gr   DECALS
dw0319m4126    NGC1291  49.9305 -41.4480  89.8 17.47 0.09 16.87 0.10 -12.32 -12.67 0.10  7.22 0.13 25.00 0.12   833.6  53.9 True  True  1.00 gr   DECALS
dw0320m4048    NGC1291  50.1412 -40.8048 108.6 19.27 0.12 18.72 0.11 -10.52 -10.84 0.12  6.41 0.14 26.98 0.16   927.7  90.3 True  True  1.00 gr   DECALS
dw0321m4159    NGC1291  50.3521 -41.9982 186.2 16.27 0.09 15.85 0.09 -13.52 -13.77 0.09  7.37 0.13 23.65 0.11   784.6  43.4 False True  1.00 gr   DECALS
dw0323m4040    NGC1291  50.8173 -40.6777 191.1 15.94 0.09 15.34 0.09 -13.85 -14.20 0.09  7.84 0.13 21.66 0.11   599.8  32.9 True  True  1.00 gr   DECALS
dw0325m4113    NGC1291  51.4098 -41.2304 249.2 17.94 0.10 17.39 0.10 -11.85 -12.17 0.10  6.94 0.13 25.47 0.13  1009.3  71.1 True  True  1.00 gr   DECALS
dw0312m3955    NGC1291  48.0380 -39.9179 244.4 20.87 0.18 20.46 0.18  -8.92  -9.16 0.18  5.52 0.20 26.54 0.27   716.4 118.3 True  False 0.65 gr   DECALS
dw0315m4112    NGC1291  48.9422 -41.2017  48.3 20.03 0.14 19.43 0.13  -9.76 -10.11 0.14  6.21 0.16 26.82 0.20   941.0 115.9 True  False 0.55 gr   DECALS
dw0316m4207    NGC1291  49.1818 -42.1284 162.6 20.90 0.18 20.48 0.18  -8.89  -9.13 0.19  5.54 0.21 25.47 0.27   569.1  95.1 True  False 0.55 gr   DECALS
dw0321m4149    NGC1291  50.4853 -41.8184 177.7 20.35 0.15 20.07 0.16  -9.44  -9.60 0.16  5.50 0.17 26.11 0.22   504.9  69.1 False False 0.65 gr   DECALS
NGC1792        NGC1808  76.3077 -37.9790 109.6 10.48 0.08  9.82 0.09 -19.36 -19.75 0.09 10.13 0.13 19.71 0.11  2807.3 131.7 False True  1.00 gr   DECALS
dw0506m3739    NGC1808  76.6002 -37.6499  47.5 19.83 0.13 19.28 0.13 -10.01 -10.33 0.14  6.22 0.15 24.68 0.19   364.2  42.0 True  True  1.00 gr   DECALS
dw0507m3629    NGC1808  76.7765 -36.4834 168.0 18.73 0.11 18.22 0.11 -11.11 -11.41 0.11  6.57 0.13 24.18 0.15   463.4  39.0 True  True  1.00 gr   DECALS
dw0507m3739    NGC1808  76.8530 -37.6518  24.4 17.84 0.10 17.29 0.10 -12.00 -12.32 0.10  7.00 0.13 24.40 0.13   723.3  52.2 True  True  1.00 gr   DECALS
dw0507m3744    NGC1808  76.9674 -37.7385  37.0 16.92 0.09 16.37 0.09 -12.92 -13.24 0.09  7.38 0.13 21.30 0.12   260.2  15.5 True  True  1.00 gr   DECALS
dw0507m3800    NGC1808  76.9808 -38.0125  81.4 17.96 0.10 17.43 0.10 -11.88 -12.19 0.10  6.92 0.13 22.89 0.13   367.6  26.0 False True  1.00 gr   DECALS
dw0508m3818    NGC1808  77.0318 -38.3098 130.0 11.81 0.08 11.43 0.09 -18.03 -18.26 0.09  9.12 0.13 20.36 0.11 11800.3 558.5 False True  1.00 gr   DECALS
dw0508m3617    NGC1808  77.1269 -36.2869 200.5 19.47 0.12 18.94 0.12 -10.37 -10.68 0.13  6.31 0.14 23.94 0.17   381.5  39.3 True  True  1.00 gr   DECALS
dw0508m3808    NGC1808  77.1369 -38.1405 105.3 16.82 0.09 16.25 0.09 -13.02 -13.35 0.09  7.45 0.13 21.70 0.12   410.1  24.1 True  True  1.00 gr   DECALS
NGC1827        NGC1808  77.5208 -36.9611 117.8 12.73 0.08 12.24 0.09 -17.11 -17.40 0.09  8.95 0.13 20.34 0.11  1978.9  94.3 False True  1.00 gr   DECALS
dw0502m3845    NGC1808  75.6394 -38.7649 261.2 19.23 0.12 19.04 0.12 -10.61 -10.73 0.12  5.82 0.14 24.00 0.16   274.5  26.4 False False 0.45 gr   DECALS
dw0506m3800    NGC1808  76.5346 -38.0103  95.0 19.85 0.13 19.37 0.13  -9.99 -10.27 0.14  6.09 0.15 24.07 0.19   229.1  26.6 True  False 0.20 gr   DECALS
dw0507m3733    NGC1808  76.8724 -37.5541   9.7 21.14 0.19 20.51 0.18  -8.70  -9.07 0.20  5.83 0.23 26.60 0.30   337.3  61.6 True  False 0.65 gr   DECALS
dw0510m3717    NGC1808  77.7102 -37.2859 107.5 20.69 0.17 20.16 0.16  -9.15  -9.46 0.17  5.83 0.18 25.25 0.25   285.3  44.1 True  False 0.55 gr   DECALS
dw0848p3226    NGC2683 132.1660  32.4442 212.2 20.01 0.14 19.30 0.13  -9.86 -10.27 0.14  6.42 0.16 26.75 0.20   747.4  91.3 True  True  1.00 gr   DECALS
dw0852p3347    NGC2683 133.2006  33.7990  61.8 16.37 0.09 16.04 0.09 -13.50 -13.69 0.09  7.22 0.13 25.62 0.11  2394.3 133.6 False True  1.00 gr   DECALS
dw0853p3318    NGC2683 133.3617  33.3052  32.4 18.40 0.10 18.02 0.10 -11.47 -11.69 0.11  6.48 0.13 23.54 0.14   499.7  38.8 False True  1.00 gr   DECALS
dw0855p3336    NGC2683 133.7936  33.6155  90.7 18.70 0.11 18.15 0.10 -11.16 -11.48 0.11  6.67 0.13 24.16 0.14   587.6  49.1 True  True  1.00 gr   DECALS
dw0855p3333    NGC2683 133.8454  33.5572  94.8 16.68 0.09 16.11 0.09 -13.18 -13.52 0.09  7.51 0.13 24.44 0.11  1004.0  58.3 True  True  1.00 gr   DECALS
dw0856p3155    NGC2683 134.1080  31.9172 278.9 18.95 0.11 18.38 0.11 -10.91 -11.25 0.12  6.61 0.13 24.32 0.15   437.5  39.0 True  True  1.00 gr   DECALS
dw0846p3300    NGC2683 131.5588  32.9974 232.2 18.34 0.10 17.70 0.10 -11.52 -11.90 0.11  6.98 0.13 26.71 0.14  1747.7 134.0 True  False 0.90 gr   DECALS
