dw1048p1303    NGC3379 162.1492  13.0598  22.80 0.36 >23.32      LeoRingN
dw1048p1259    NGC3379 162.2174  12.9954 >22.98      >23.11      LeoRingN
dw1048p1407    NGC3379 162.2240  14.1245  19.34 0.05  21.91 0.32 GI3_046021_NGC3419
dw1049p1247    NGC3379 162.2977  12.7925  22.53 0.13 >23.89      LeoRingN
dw1049p1233    NGC3379 162.3580  12.5525  22.54 0.23 >23.25      LeoRingN
UGC5944        NGC3379 162.5791  13.2719  18.82 0.05 >22.42      LeoRingN
dw1050p1213    NGC3379 162.6004  12.2182 >23.85      >24.03      GI3_079014_M105
dw1050p1221    NGC3379 162.6132  12.3598 >22.28      >22.18      LeoRingC
dw1050p1236    NGC3379 162.6486  12.6093 >23.82      >23.74      LeoRingN
dw1051p1320    NGC3379 162.7563  13.3336  20.11 0.05  21.92 0.25 LeoRingN
dw1051p1250    NGC3379 162.8378  12.8490  19.62 0.05  21.28 0.14 LeoRingN
dw1051p1406    NGC3379 162.8807  14.1149  21.40 0.09  23.21 0.46 GI3_046021_NGC3419
dw1052p1102    NGC3379 163.0812  11.0433  19.78 0.05  22.59 0.52 GI4_042056_AOHI105336p110034
dw1104p0004    NGC3521 166.1606   0.0815 >23.73      >23.93      MISDR1_12637_0277
dw1104p0003    NGC3521 166.1676   0.0581  20.02 0.06  21.49 0.22 MISDR1_12637_0277
dw1104p0005    NGC3521 166.1711   0.0936  22.81 0.69 >23.35      MISDR1_12637_0277
dw1105p0006    NGC3521 166.4217   0.1163  18.28 0.25  20.07 0.59 MISDR1_12637_0277
dw1106m0126    NGC3521 166.5313  -1.4476 >21.17      >20.81      AIS_314_1_76
dw1106m0052    NGC3521 166.6084  -0.8797  21.56 0.16 >22.27      MISWZN11_12676_0315
dw1107m0038    NGC3521 166.7760  -0.6338 >23.59      >22.91      MISWZN11_12676_0315
dw110m0011     NGC3521 166.8051  -0.1869 >22.35      >22.40      MISDR1_12637_0277
dw1109m0016    NGC3521 167.3283  -0.2771 >22.28      >22.23      MISDR1_12675_0278
dw1110p0037    NGC3521 167.6231   0.6169  21.26 0.20 >22.62      MISDR1_12675_0278
dw1111p0049    NGC3521 167.8493   0.8315 >22.20      >22.26      MISDR1_12674_0279
dw1119p5543    NGC3556 169.9523  55.7224  18.52 0.05  19.03 0.14 AIS_92_1_32
dw1114p1238    NGC3627 168.6877  12.6477  18.99 0.05  19.22 0.05 GI4_095041_NGC3593
dw1117p1305    NGC3627 169.2544  13.0993  18.30 0.05  19.11 0.05 GI3_041004_NGC3623
dw1118p1233    NGC3627 169.6759  12.5614  20.99 0.11 >23.15      GI3_041004_NGC3623
dw1118p1348    NGC3627 169.7234  13.8054  22.03 0.16 >23.56      NGA_NGC3628_cen
dw1119p1419    NGC3627 169.8029  14.3272  18.86 0.13  20.18 0.38 AIS_232_1_03
dw1119p1157    NGC3627 169.8098  11.9524  17.79 0.05  17.90 0.05 GI4_042061_AOHI111914p115707
dw1119p1417    NGC3627 169.8161  14.2901  19.99 0.15  20.60 0.32 AIS_232_1_03
dw1119p1404    NGC3627 169.8397  14.0755  20.57 0.55 >21.30      AIS_232_1_03
dw1120p1332    NGC3627 170.0666  13.5488 >21.84      >23.15      NGA_NGC3628_cen
dw1121p1326    NGC3627 170.4037  13.4471 >23.19      >22.88      NGA_NGC3627
dw1122p1258    NGC3627 170.6002  12.9795  20.21 0.05  21.93 0.24 NGA_NGC3627
IC2782         NGC3627 170.7307  13.4413  18.50 0.06  21.00 0.60 AIS_232_1_10
IC2791         NGC3627 170.9066  12.8960  19.22 0.05  19.83 0.06 NGA_NGC3627
dw1124p1240    NGC3627 171.1445  12.6743 >21.09      >21.17      AIS_232_1_19
NGC4248        NGC4258 184.4591  47.4092  16.04 0.05  16.82 0.05 PS_NGC4258_MOS23
LVJ1218+4655   NGC4258 184.5465  46.9172  18.17 0.05  18.36 0.05 PS_NGC4258_MOS23
dw1219p4743    NGC4258 184.7757  47.7302  21.88 0.14 >23.69      PS_NGC4258_MOS23
UGC7356        NGC4258 184.7875  47.0899  18.87 0.06  21.31 0.27 PS_NGC4258_MOS23
dw1220p4729    NGC4258 185.1256  47.4906 >23.76      >24.07      PS_NGC4258_MOS23
