0457-51901-304 042.28885 -07.84094 J024909.31-075027.5
0457-51901-309 042.29495 -07.82345 J024910.78-074924.5
0457-51901-465 043.44460 -07.39555 J025346.70-072344.0
0462-51909-363 054.55403 -05.54040 J033812.96-053225.5
0463-51908-282 056.67771 -07.05908 J034642.65-070332.6
0469-51913-154 134.83678 +00.86173 J085920.83+005142.1
0473-51929-422 139.49772 +01.96417 J091759.45+015750.9
0473-51929-518 140.12501 +01.84875 J092030.00+015055.5
0477-52026-016 145.89127 +01.11648 J094333.89+010659.2
0477-52026-588 145.87555 +02.14550 J094330.13+020843.8
0480-51989-004 147.59716 +00.70812 J095023.31+004229.2
0480-51989-250 146.04542 +00.17975 J094410.90+001047.1
0480-51989-552 147.33745 +01.71754 J094920.99+014303.1
0481-51908-180 148.39488 +01.59014 J095334.75+013524.3
0481-51908-289 147.47641 +00.61660 J094954.34+003659.6
0481-51908-335 146.93894 +02.62696 J094745.34+023737.0
0481-51908-483 148.11234 +02.29996 J095226.96+021759.8
0481-51908-518 148.17263 +02.13282 J095241.42+020758.1
0485-51909-306 139.18349 +59.77460 J091644.03+594628.6
0485-51909-550 142.52681 +60.44817 J093006.43+602653.4
0490-51929-128 164.42476 +65.59439 J105741.94+653539.7
0490-51929-401 164.16319 +67.18025 J105639.17+671048.9
0491-51942-047 171.36144 +65.76865 J112526.75+654607.2
0492-51955-449 175.77723 +68.12160 J114306.52+680717.7
0496-51988-541 201.89462 +66.75463 J132734.71+664516.7
0499-51988-084 216.73393 +63.01277 J142656.14+630045.8
0503-51999-273 154.25782 +02.01279 J101701.87+020045.6
0512-51992-334 171.06533 +02.95873 J112415.67+025731.3
0512-51992-524 172.40895 +03.25114 J112938.14+031504.1
0514-51994-391 175.43082 +02.72776 J114143.39+024339.8
0516-52017-178 180.34297 +02.18565 J120122.30+021108.3
0516-52017-315 179.30186 +02.47441 J115712.44+022827.9
0523-52026-076 194.99200 +02.04928
0523-52026-114 194.53477 +01.86236 J125808.34+015144.4
0523-52026-480 193.71278 +02.65410 J125451.06+023914.7
0535-51999-563 218.18812 +02.91494 J143245.14+025454.0
0536-52024-402 219.28710 +03.04711 J143708.90+030249.5
0548-51986-517 126.82529 +46.03417 J082718.07+460203.0
0549-51981-281 126.82504 +46.03259 J082718.01+460157.4
0549-51981-621 130.12464 +47.11952 J084029.91+470710.2
0550-51959-092 130.12463 +47.11951 J084029.91+470710.2
0552-51992-027 137.00035 +50.65281 J090800.08+503910.0
0553-51999-134 137.71913 +52.46573 J091052.60+522756.7
0553-51999-342 136.77034 +53.44906 J090704.89+532656.6
0553-51999-596 139.18968 +53.44293 J091645.53+532634.6
0553-51999-602 140.23362 +52.56787 J092056.07+523404.2
0554-52000-190 140.23300 +52.56871 J092055.92+523407.2
0554-52000-203 139.44702 +53.29372 J091747.28+531737.4
0556-51991-011 147.37626 +55.57971 J094930.30+553446.9
0556-51991-224 144.55624 +54.47362 J093813.49+542825.0
0556-51991-312 143.50993 +55.23978 J093402.38+551423.2
0582-52045-440 211.09826 +04.71789 J140423.58+044304.4
0582-52045-547 212.19485 +04.90979 J140846.76+045435.2
0585-52027-049 218.18741 +02.91327 J143244.97+025447.7
0597-52059-136 173.42162 +63.82387 J113341.19+634925.9
0597-52059-235 171.92902 +64.16707 J112742.97+641001.4
0597-52059-275 171.71036 +64.13801
0597-52059-586 175.19761 +64.78619 J114047.42+644710.2
0602-52072-369 195.70499 +65.58035 J130249.19+653449.4
0602-52072-500 196.67706 +65.09563 J130642.49+650544.2
0604-52079-007 207.62841 +62.44696 J135030.82+622649.0
0604-52079-604 207.97331 +64.37286 J135153.59+642222.3
0617-52072-464 235.22634 +56.86085 J154054.31+565138.9
0622-52054-135 242.79799 +48.33444 J161111.51+482004.0
0622-52054-445 242.17674 +49.18036 J160842.41+491049.2
0628-52083-555 250.64800 +42.39715 J164235.52+422349.7
0629-52051-497 250.99650 +44.60914 J164359.15+443632.9
0633-52079-300 254.37515 +38.68979 J165730.04+384123.2
0637-52174-526 316.06548 -06.08817 J210415.71-060517.3
0639-52146-242 318.86283 -07.99760 J211527.07-075951.4
0640-52178-261 320.91926 -07.81799 J212340.62-074904.7
0640-52178-320 319.92659 -07.54011 J211942.38-073224.4
0640-52178-600 321.97305 -07.02053 J212753.52-070113.9
0641-52199-213 323.15050 -08.48749 J213236.11-082914.9
0651-52141-452 002.19818 -08.98488 J000847.55-085905.7
0652-52138-090 004.19899 -10.79508 J001647.75-104742.2
0653-52145-056 006.86625 -10.95949 J002727.89-105734.2
0653-52145-462 005.91509 -09.81352 J002339.61-094848.7
0657-52177-193 013.33182 -10.40329 J005319.63-102411.8
0659-52199-033 018.75229 -10.03811 J011500.55-100217.2
0660-52177-591 019.80953 -09.59617 J011914.27-093546.4
0662-52147-466 023.24395 -08.89381 J013258.54-085337.8
0663-52145-288 024.27671 -10.53160 J013706.42-103153.8
0663-52145-588 025.40578 -09.24362 J014137.38-091437.0
0666-52149-087 030.88578 -09.92984 J020332.58-095547.5
0667-52163-188 032.27146 -09.70038 J020905.15-094201.4
0668-52162-152 034.72045 -09.20522 J021852.90-091218.7
0330-52370-471 178.15699 -02.46844 J115237.67-022806.3
0331-52368-049 180.96281 -03.70960 J120351.07-034234.5
0375-52140-118 336.29222 -00.19801 J222510.13-001152.8
0376-52143-160 337.65332 -00.11027 J223036.79-000636.9
0378-52146-082 341.53515 -01.20503 J224608.43-011218.1
0501-52235-602 151.94381 +02.87457 J100746.51+025228.3
0510-52381-635 169.68633 +02.90835 J111844.72+025430.0
0518-52282-335 183.65216 +03.50639 J121436.51+033022.9
