0556-51991-312 1.7215 0.0736 7.25 0.04 -1.64 0.07 -0.88 0.07 -1.70 0.10 -2.49 0.15  0.00 0.00 -1.48 0.20
0582-52045-440 1.0209 0.1152 8.33 0.12 -1.26 0.15 -0.70 0.25 -1.63 0.19 -2.53 0.15  0.00 0.00 -1.78 0.25
0582-52045-547 1.0380 0.1854 8.29 0.19 -1.19 0.24 -0.81 0.39 -1.52 0.30 -2.33 0.24  0.00 0.00 -1.76 0.38
0585-52027-049 1.1786 0.0901 8.10 0.07 -1.46 0.09 -0.85 0.16 -1.66 0.13 -2.42 0.09  0.00 0.00  0.00 0.00
0597-52059-136 1.3140 0.0552 7.97 0.04 -1.49 0.06 -0.76 0.08 -1.52 0.10 -2.34 0.06  0.00 0.00 -1.82 0.34
0597-52059-235 1.1286 0.1085 8.18 0.10 -1.36 0.13 -0.75 0.19 -1.85 0.28 -2.47 0.13  0.00 0.00  0.00 0.00
0597-52059-275 1.2005 0.1651 8.09 0.13 -1.21 0.17 -0.75 0.28 -1.59 0.22 -2.26 0.16  0.00 0.00  0.00 0.00
0597-52059-586 1.1170 0.0941 8.22 0.09 -1.35 0.12 -0.79 0.17 -1.67 0.18 -2.50 0.11  0.00 0.00 -2.10 0.70
0602-52072-369 1.3848 0.0500 7.99 0.04 -1.38 0.05 -0.73 0.07 -1.70 0.11 -2.43 0.11  0.00 0.00 -1.98 0.43
0602-52072-500 0.9722 0.2341 8.33 0.27 -1.04 0.34 -0.77 0.56 -1.60 0.41 -2.42 0.34  0.00 0.00  0.00 0.00
0604-52079-007 1.3514 0.0784 7.91 0.05 -1.41 0.07 -0.86 0.11 -1.54 0.12 -2.33 0.07  0.00 0.00  0.00 0.00
0604-52079-604 1.4092 0.0619 7.89 0.04 -1.43 0.06 -0.76 0.08 -1.56 0.09 -2.32 0.06  0.00 0.00 -2.08 0.43
0617-52072-464 1.0442 0.0680 8.26 0.07 -1.34 0.09 -0.80 0.14 -1.78 0.12 -2.36 0.09 -3.10 0.15 -2.13 0.24
0622-52054-135 1.0962 0.1577 8.14 0.14 -1.18 0.18 -0.71 0.31 -1.61 0.23 -2.31 0.18  0.00 0.00  0.00 0.00
0622-52054-445 0.9710 0.1014 8.36 0.12 -1.21 0.15 -0.74 0.24 -1.83 0.20 -2.43 0.15  0.00 0.00 -1.96 0.28
0628-52083-555 1.1490 0.0798 8.18 0.07 -1.24 0.09 -0.67 0.14 -1.70 0.13 -2.50 0.09  0.00 0.00 -1.91 0.27
0629-52051-497 1.0641 0.0832 8.33 0.08 -1.46 0.10 -0.62 0.16 -1.78 0.16 -2.55 0.11  0.00 0.00 -2.01 0.29
0633-52079-300 1.3623 0.0603 7.94 0.04 -1.54 0.06 -0.86 0.08 -1.57 0.10 -2.35 0.06  0.00 0.00  0.00 0.00
0637-52174-526 0.9924 0.0891 8.34 0.10 -1.31 0.13 -0.77 0.20 -1.69 0.18 -2.42 0.13 -3.28 0.30 -1.84 0.28
0639-52146-242 1.1251 0.0426 8.21 0.04 -1.48 0.05 -0.69 0.08 -1.72 0.08 -2.46 0.05 -3.54 0.24 -2.26 0.37
